Bigram,Frequency
claim number,31
claims called,31
covered _x000d_,31
covered client,31
drain cover,31
gas geyser,31
r280 costs,31
sent _x000d_,31
there no,31
193 95,30
280 excess,30
45 200,30
640 95,30
774 45,30
95 150,30
95 250,30
be liable,30
geyser possibly,30
r1500 00,30
repairable the,30
reported faulty,30
1 liable,29
261 95,29
advise client,29
any repairs,29
assistance blocked,29
coming out,29
fee 1st,29
leaking the,29
please forward,29
use own,29
client would,28
liable cost,28
machine covered,28
pipe the,28
reporting burst,28
tripping power,28
_x000d_ please,27
and quote,27
called client,27
client geyser,27
cost be,27
cost parts,27
covered one,27
drain _x000d_,27
installation cost,27
machine not,27
r 14,27
r280 00,27
reported clients,27
toilet covered,27
95 repairs,26
advised clients,26
africa sp,26
assistance plumber,26
excluding parts,26
heating client,26
heating cover,26
no water,26
pay r280,26
pipe covered,26
r280 r900,26
r600_x000d_ _x000d_,26
r8250 00_x000d_,26
report and,26
requested assistance,26
would like,26
_x000d_ 50,25
a plumber,25
covered r,25
for r2000,25
in the,25
kitchen sink,25
parts geyser,25
pipe geyser,25
pipe kitchen,25
pipe leaking,25
pipe visible,25
toilet leaking,25
urgent assitance,25
use drain,25
africa_x000d_ _x000d_,24
ceiling client,24
drain blocked,24
excess geyser,24
forward quote,24
leaking taps,24
overflow pipe,24
proceed replacement,24
r2 500,24
replacements excess,24
reporting geyser,24
roof client,24
second ref,24
the use,24
there leak,24
to assist,24
would be,24
00 excesses_x000d_,23
11 494,23
11 609,23
11 681,23
14 533,23
21 579,23
_x000d_ the,23
advised there,23
assistance geyser,23
assistance leaking,23
burst out,23
centurion south,23
cover 1st,23
event geyser,23
geyser call,23
geyser limit,23
more r600,23
need assistance,23
one fee,23
pipe _x000d_,23
r 21,23
r10120 excluding,23
r8250 excluding,23
r900 there,23
replacement excess,23
100l r9,22
150l r9,22
200l r10,22
250l r18,22
25_x000d_ 100,22
25_x000d_ 150,22
494 25_x000d_,22
50l r10,22
533 70_x000d_,22
579 75_x000d_,22
609 25_x000d_,22
681 70_x000d_,22
70_x000d_ 250,22
assist client,22
be assisted,22
case the,22
concealed leaking,22
costs exceed,22
for call,22
geyser working,22
heat pump,22
mr called,22
out warranty,22
please assist,22
r 1500,22
r10 324,22
r10 790,22
r18 704,22
r2000 r900,22
r9 139,22
r9 620,22
reported concealed,22
roodepoort south,22
supreme assist,22
tap client,22
139 57_x000d_,21
13_x000d_ 100l,21
15_x000d_ 150l,21
22_x000d_ 250l,21
324 13_x000d_,21
57_x000d_ 200l,21
620 15_x000d_,21
70_x000d_ 200,21
790 22_x000d_,21
advised faulty,21
concealed pipe,21
cover rods,21
excl vat,21
labour client,21
leaking solar,21
leaking visible,21
park pretoria,21
please note,21
plumber assist,21
r2000 280,21
report clients,21
reporting leak,21
taps are,21
to replace,21
used own,21
vat _x000d_,21
water pressure,21
1 client,20
1 hour,20
1500 geyser,20
_x000d_ no,20
applicable _x000d_,20
authorization if,20
automatic go,20
average replacement,20
bill more,20
broker advised,20
call client,20
call quote,20
called leaking,20
come back,20
cost inc,20
detection needed,20
does have,20
inc vat,20
needs plumber,20
please call,20
quotation required,20
r 2000_x000d_,20
r2000 claim,20
r900 client,20
randburg south,20
ref parts,20
replace excess,20
replacement installation,20
rods only,20
size authorization,20
sp can,20
to be,20
toilet the,20
up r2000,20
water client,20
we cover,20
75_x000d_ repairs,19
_x000d_ 50l,19
_x000d_ should,19
advised that,19
claim _x000d_,19
cost r900,19
electrical geyser,19
excl vat_x000d_,19
geyser replacements_x000d_,19
if leak,19
in to,19
parts needed,19
pipe r2000,19
price called,19
quote event,19
r10120 excl,19
r600 the,19
r8250 excl,19
related call,19
repair client,19
size average,19
sp may,19
the broker,19
van der,19
1 excluding,18
15 000,18
40 r,18
500 excluding,18
_x000d_ water,18
advised needs,18
ahead up,18
assistance the,18
but geyser,18
claims r,18
client building,18
client cover,18
covered fee,18
detection _x000d_,18
element thermostat,18
geysers 40,18
heating systems_x000d_,18
is leaking,18
labor client,18
leak ceiling,18
limit r,18
maximum r2,18
may replace,18
parts_x000d_ _x000d_,18
pipe in,18
plumber _x000d_,18
r 15,18
r10 000,18
reference number,18
replacement may,18
replacements b,18
reported solar,18
up maximum,18
vat leak,18
with the,18
07 50,17
1198 07,17
2000_x000d_ geyser,17
_x000d_ it,17
a possible,17
add cost,17
advised blocked,17
assistance case,17
assistance client,17
assitance case,17
building covered,17
called reported,17
client does,17
client used,17
covered call,17
do cover,17
electricity client,17
email address,17
ex gratia,17
excess bill,17
excess of,17
excess r1000,17
fee first,17
geyser excess,17
geyser repairs,17
pay parts,17
please assess,17
proceed geyser,17
provider but,17
quotation geyser,17
r 1198,17
r2000 any,17
replace within,17
replacement cost,17
replacement then,17
replacements_x000d_ _x000d_,17
report concealed,17
reported visible,17
tap the,17
then quotation,17
there water,17
00_x000d_ excess,16
_x000d_ b,16
a r280,16
and he,16
burst excess,16
cash call,16
client pay,16
does include,16
dr and,16
drain cock,16
exceed 600,16
geyser 50,16
in and,16
it does,16
please provide,16
r1000 00,16
r2000 no,16
tap covered,16
there is,16
up water,16
water pipe,16
704 18,15
_x000d_ if,15
an excess,15
blocked client,15
callout labour,15
clc co,15
client is,15
client only,15
client was,15
clients toilet,15
cold water,15
confirmed building,15
covered r1000,15
db board,15
drain drain,15
excess r250,15
excess repairs,15
faulty toilet,15
geyser please,15
heating unit,15
keeps tripping,15
labour only,15
leak bathroom,15
limits _x000d_,15
of r280,15
own plumber,15
pipe cover,15
pipe wall,15
pretoria_x000d_ client,15
psg co,15
repairable client,15
replacement needed,15
report there,15
required _x000d_,15
safety valve,15
said needs,15
said there,15
sandton south,15
that we,15
there are,15
toilet r2000,15
up cover,15
00_x000d_ excesses_x000d_,14
account if,14
bathroom client,14
boksburg south,14
burst solar,14
called arrange,14
called geyser,14
client asked,14
client will,14
components covered,14
excess _x000d_,14
geyser getting,14
geyser pipe,14
go out,14
leaking shower,14
leaking water,14
mrs called,14
own service,14
parts risk,14
plumber to,14
pty ltd,14
quote photos,14
r2000 with,14
r600 burst,14
r600 r280,14
reported leak,14
tap leaking,14
the reported,14
to call,14
to the,14
water unit,14
with an,14
_x000d_ 100l,13
a burst,13
africa _x000d_,13
and excess,13
and the,13
are covered,13
arrange plumber,13
broker mrs,13
call parts,13
call second,13
called confirmed,13
ceiling the,13
claim min,13
client faulty,13
client had,13
contact number,13
cover drain,13
event r600,13
geyser not,13
good day,13
he advised,13
if not,13
leaking overflow,13
less r280,13
limit will,13
made use,13
mr van,13
needed proceed,13
parts client,13
please can,13
please contact,13
r 8,13
re imbursement,13
sink client,13
south south,13
systems_x000d_ geyser,13
the report,13
unit 2,13
up geyser,13
0114892000 client,12
2 leaking,12
5 000,12
_x000d_ good,12
_x000d_ maximum,12
advise there,12
applicable if,12
assistance with,12
be required_x000d_,12
bill r900,12
called assistance,12
can go,12
client concealed,12
clients broker,12
contact person,12
cost 600,12
cover client,12
dr quote,12
exceed r900,12
excess fee,12
excess parts,12
excess r280_x000d_,12
for 2000,12
geyser advised,12
geyser contact,12
geyser keeps,12
geyser thats,12
heating r2000,12
is covered,12
leak client,12
leaking r2000,12
need be,12
out 1st,12
panic client,12
pipe needs,12
pressure valve,12
r 5,12
r2000 and,12
r2000 less,12
r2000 should,12
r280 excess_x000d_,12
r600 we,12
repairs r600,12
replacement limits,12
sure where,12
taps covered,12
that the,12
toilet cover,12
